users_program,user_id,zip,membership_type,bike,checkout_date,checkout_time,checkout_kiosk,return_date,return_time,return_kiosk,duration_minutes
56920,Denver B-cycle,415940,80205.0,Annual (Denver B-cycle),678,10/8/15,10:44:00 PM,22nd & Market,10/8/15,10:45:00 PM,22nd & Market,1
56997,Denver B-cycle,350177,80204.0,Annual (Denver B-cycle),47,10/8/15,8:11:00 PM,16th & Sherman,10/8/15,8:19:00 PM,17th & Race,8
57245,Denver B-cycle,39177,80206.0,Annual (Denver B-cycle),574,10/8/15,5:17:00 PM,Market Street Station,10/8/15,5:31:00 PM,33rd & Arapahoe,14
57332,Denver B-cycle,994471,0.0,24-hour Kiosk Only (Denver B-cycle),442,10/8/15,4:46:00 PM,19th & Wynkoop,10/8/15,4:52:00 PM,22nd & Market,6
57990,Denver B-cycle,110164,80206.0,Annual (Denver B-cycle),418,10/8/15,8:26:00 AM,12th & Columbine,10/8/15,8:39:00 AM,Ellsworth & Madison,13
57994,Denver B-cycle,770572,80204.0,Annual Plus (Denver B-cycle),618,10/8/15,8:23:00 AM,9th & Santa Fe,10/8/15,8:54:00 AM,Denver Health,31
58013,Denver B-cycle,170506,80211.0,Annual (Denver B-cycle),756,10/8/15,8:12:00 AM,17th & Tejon,10/8/15,8:23:00 AM,16th & Little Raven,11
58022,Denver B-cycle,840378,80218.0,Annual (Denver B-cycle),329,10/8/15,8:08:00 AM,6th & Clarkson,10/8/15,8:16:00 AM,12th & Sherman,8
58759,Denver B-cycle,630194,80218.0,Annual (Denver B-cycle),134,10/7/15,3:29:00 PM,11th & Emerson,10/7/15,3:32:00 PM,13th & Marion,3
58770,Denver B-cycle,338715,80203.0,Annual (Denver B-cycle),315,10/7/15,3:16:00 PM,15th & Curtis,10/7/15,3:28:00 PM,22nd & Pennsylvania,12
58981,Denver B-cycle,64478,80202.0,Annual (Denver B-cycle),528,10/7/15,11:43:00 AM,Denver Health,10/7/15,11:57:00 AM,16th & Platte,14
59257,Denver B-cycle,623742,80203.0,Annual (Denver B-cycle),366,10/7/15,7:49:00 AM,13th & Pearl,10/7/15,7:59:00 AM,9th & Santa Fe,10
60181,Denver B-cycle,33990,80202.0,Annual (Denver B-cycle),257,10/6/15,7:44:00 AM,14th & Welton,10/6/15,7:46:00 AM,14th & Stout,2
60390,Denver B-cycle,964437,80218.0,30-day Renewing (Denver B-cycle),510,10/5/15,7:37:00 PM,13th & Marion,10/5/15,7:53:00 PM,13th & Marion,16
60762,Denver B-cycle,957764,80203.0,30-day Renewing (Denver B-cycle),392,10/5/15,4:01:00 PM,9th & Logan,10/5/15,4:04:00 PM,13th & Pearl,3
60863,Denver B-cycle,991116,98118.0,24-hour Kiosk Only (Denver B-cycle),502,10/5/15,3:02:00 PM,REI,10/5/15,3:24:00 PM,18th & California,22
61147,Denver B-cycle,991068,55305.0,24-hour Kiosk Only (Denver B-cycle),370,10/5/15,12:04:00 PM,Louisiana & Franklin,10/5/15,12:29:00 PM,Bayaud & Emerson,25
